,host_response_rate,host_acceptance_rate,host_listings_count,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,bathrooms,host_response_time_within a day,host_response_time_within a few hours,host_response_time_within an hour,host_is_superhost_t,host_has_profile_pic_t,host_identity_verified_t,room_type_Hotel room,room_type_Private room,room_type_Shared room,has_availability_t,instant_bookable_t
availability_90,-0.04010848868671402,0.036636720890124146,0.04407548132081436,0.13416667317679137,0.0996427313968835,0.1052270947991218,0.11607933483150222,0.03352693287855707,0.0033394889456934925,0.8383982025721016,0.9710324924478106,1.0,0.6670547109238945,-0.0868690388879999,-0.0002790454358105955,-0.14219196485714952,-0.055347660002819404,-0.10679024119296693,-0.09874735943038629,-0.06676612219376368,-0.15150737593050997,0.1636883406507116,0.042226392433582206,0.07088334996499114,0.2058498299222567,-0.052323064210107344,-0.01966352547248449,0.038764030332489756,-0.0056476193565074,-0.009614748178152254,0.09630006887225162,0.22004071900253042,0.07901956874731984
availability_365,0.07366285885042513,0.07492123008839903,0.13598256849008838,0.10584568367300795,0.08006265178727344,0.0868301319588774,0.07513689031691938,0.020237782730810464,0.09568953843939242,0.5105524123389649,0.6184761392619241,0.6670547109238945,1.0,-0.01657094888674957,0.041354593658104635,-0.10749992740400105,-0.015334699724838913,-0.08847781125550425,-0.09262997448281737,-0.068039622779823,-0.13426812131205643,0.15545911425010733,0.07070450814571133,0.11030238340495255,0.24668836055055982,0.010306218995585854,-0.012767790047232738,0.055967668902068,0.0072811530060594015,-0.05049849831704806,0.0588923836637687,0.21919915537078455,0.07730023887988335
number_of_reviews,0.12873360595491962,0.11470012722225018,-0.0823600636440365,-0.03234258695590883,-0.07253436524980723,-0.028597342694727305,-0.061165786471747474,-0.12336834822599152,-0.11892113670007536,-0.1251722758166496,-0.10675562989746999,-0.0868690388879999,-0.01657094888674957,1.0,0.1446007189006935,0.12094842106123549,0.13775567589922594,0.11223242848458832,0.11723497263132623,0.06815159724826372,0.12666438944802855,-0.09338318438328741,-0.003816250202430104,0.03557239386200293,0.09773443240754023,0.3111730506338944,0.01932232464543542,0.02143472218504209,0.005683517729321465,-0.022034742114808,-0.07388755098551565,0.06275004837041406,-0.051738033392016936
review_scores_rating,0.15558212230441407,0.04392762904046929,-0.07178454111185846,0.05136268305026537,0.06278183219207707,0.04044851250547162,0.0390044333578578,-0.042354130732434374,-0.08655377604924604,-0.056686075785432014,-0.024204872030159773,-0.0002790454358105955,0.041354593658104635,0.1446007189006935,1.0,0.58626016319244,0.5771967936490521,0.4995836951157656,0.5398456405388095,0.4733512858100959,0.578713857265415,0.02421315756719567,0.054074807093162036,0.06074536212175978,0.10214783363733114,0.23945418341174418,0.03658199831109682,0.03785878002393551,-0.014000266682499296,-0.05635966424208708,-0.08433909691053887,0.13225195166989154,-0.07326867032120658
review_scores_accuracy,0.0875918062160848,-0.02059008043915315,-0.08544179356895097,0.002036371043092228,0.032573574487754754,-0.013170844760858717,0.027526091741509315,-0.022120855646044137,-0.06308581953145032,-0.15446464685267558,-0.15165217990848348,-0.14219196485714952,-0.10749992740400105,0.12094842106123549,0.58626016319244,1.0,0.7581393542829936,0.7370949685306639,0.7649361334622359,0.6696451392780916,0.8324261249957389,-0.004048449941506413,0.03820704981799752,0.010885105645967815,0.011392022402340603,0.2102095434501412,0.01999500274937151,-0.008469495619073305,-0.03004043972977017,-0.0011025645918268663,-0.11750104766566183,0.020710959369614222,-0.09679880886149395
review_scores_cleanliness,0.12526836534636449,0.010611594083268536,0.024306207891840396,0.029183873906851655,0.05324578875102208,0.004523329607640318,0.04498707804220162,-0.03692417516473873,-0.07860820557696871,-0.09239142135552367,-0.07249931333249722,-0.055347660002819404,-0.015334699724838913,0.13775567589922594,0.5771967936490521,0.7581393542829936,1.0,0.6120828946441552,0.650941765906052,0.5936447770537149,0.723535210302456,-0.019117233362093915,0.041869855912850834,0.024980007438850278,0.06637613256662309,0.23803187455030225,0.024172061806433515,-0.0003177339046381304,-0.020547496778488192,-0.04013190829180295,-0.1488548501399321,0.06933787760566673,-0.06148504805586201
review_scores_checkin,0.09103059167467153,-0.02440998429747359,-0.1170901265674773,-0.0016466033772450338,0.03901994051403293,-0.00854188702241643,0.011556933440153749,-0.022817533242870922,-0.060808142563271536,-0.12978904065315602,-0.1186479421233129,-0.10679024119296693,-0.08847781125550425,0.11223242848458832,0.4995836951157656,0.7370949685306639,0.6120828946441552,1.0,0.7794277176041765,0.6133565808704923,0.6999048819674504,0.008831705588169878,0.03336660001324848,0.028740911378269365,0.008945711968172867,0.1865729237072527,0.018567021960984306,-0.01395539550119606,-0.037964559764016644,0.017778406296690974,-0.09700837095802355,0.0294808348519695,-0.09375099548853592
review_scores_communication,0.08613835789872674,-0.03512567702370408,-0.16047626216120706,0.0027427034700101857,0.02906067493433718,-0.011546811836050679,0.015920334917237006,-0.014074450047772162,-0.07746562947073146,-0.11414318568868696,-0.10724865041212688,-0.09874735943038629,-0.09262997448281737,0.11723497263132623,0.5398456405388095,0.7649361334622359,0.650941765906052,0.7794277176041765,1.0,0.6238350934732382,0.736403786440507,-0.004662011642260659,0.030385809555873906,0.01536024217771314,-0.00012200218307004006,0.1844127625361486,0.016824817528416483,-0.017475469754921886,-0.03274982492018416,0.018243749442326377,-0.10698290669848846,0.034414450394220766,-0.10255651324408264
review_scores_location,0.04746114271503914,-0.04871864411202565,-0.0481238363149103,0.03728333873751134,0.06679008914293556,0.01576947519821141,0.06556281704679401,-0.01955940066608394,-0.05925071963144341,-0.07759595120933949,-0.07327323023712168,-0.06676612219376368,-0.068039622779823,0.06815159724826372,0.4733512858100959,0.6696451392780916,0.5936447770537149,0.6133565808704923,0.6238350934732382,1.0,0.6888763922040867,-0.0063067803890312435,0.034470417761859336,0.020463376285582993,0.0009173468225956284,0.14918941268485159,0.0030858040074547744,-0.0017341283908323206,-0.04424518657357461,-0.008913061182292237,-0.1390373560698824,0.03586159619003439,-0.08901326146537406
review_scores_value,0.05734647629148462,-0.047655300398913636,-0.1615677982743147,-0.015427021440808123,0.0176531695514578,-0.009920044156252332,0.0054515395295764305,-0.03739988540283482,-0.0799636686816384,-0.15662248801406492,-0.15799594734887754,-0.15150737593050997,-0.13426812131205643,0.12666438944802855,0.578713857265415,0.8324261249957389,0.723535210302456,0.6999048819674504,0.736403786440507,0.6888763922040867,1.0,-0.010092135161414826,0.032042527177264156,0.014595226958377663,-0.0315671806490603,0.20799048538323553,0.014035466460547465,-0.02034544994645518,-0.030953060528336736,0.05240208696133588,-0.0805231546455085,0.005390617736614984,-0.11407165883697035
