,price
11925,0.795165210626958
510,0.25009954208988466
11613,0.9251366846230829
16532,0.04271571825369124
13409,0.2152164595459316
12620,0.9668226714216677
13116,0.5436550096417856
6878,0.04703139809326463
17777,0.47001433659758685
6538,0.3612579182518143
13620,0.8246012229309676
3618,0.06718541111440199
11063,0.09727134669308547
2243,0.05765765102457757
7565,0.2734599766141715
1909,0.29764718544357693
4251,0.1001600229544767
4694,0.9594178327326034
12165,0.8875957076858186
16267,0.9808602873111995
5503,0.9453025875872981
15729,0.03906461881578377
13853,0.02523330379706761
9007,0.5427043602487647
14011,0.5913605270782595
8126,0.8388771821503506
14222,0.046821497657961474
13396,0.23585813504603406
10025,0.17328581545374472
10030,0.05043542715812796
9151,0.06649222889839984
11646,0.7377715216587121
14964,0.06389560844830847
15400,0.3444106955124658
4881,0.06734097434703064
4583,0.11753958547588994
15545,0.32640203832374065
3390,0.7454271965972372
6920,0.06207802755239315
5085,0.11038495958943324
14615,0.04431263742768502
4258,0.1918410740375488
5317,0.4811547855777853
13097,0.03407558557960063
12935,0.1630316833031151
14171,0.9781579805690676
15610,0.055524644681253454
17043,0.21145858903333037
5063,0.2538302647680448
12078,0.9130447888071768
10174,0.1771091155822853
16743,0.4682974633638593
6499,0.07392773766944277
5530,0.17459759499512437
14070,0.02184363003211324
14661,0.05701954447226485
10513,0.5284023720229697
7909,0.15277714532779388
10559,0.07971117339456334
16137,0.7212018608034501
1615,0.10687330578213339
2594,0.07004921855360018
2064,0.04850102750835684
5378,0.8844347081309906
1954,0.0885036457924566
7265,0.31609464347108834
7981,0.03995089919725615
5386,0.8598262894843021
7521,0.29284954371968264
13112,0.06716016724240288
12339,0.2832610486606518
12212,0.8460286055464308
15885,0.03825495820659378
5455,0.8889265808090231
5487,0.5592895460093246
3171,0.46394132397340293
14527,0.9992379353446126
14318,0.030094362796807685
17172,0.06674621866501279
16238,0.5983422109449208
10193,0.6441655031160829
11644,0.19800952460865281
9817,0.07846982645302038
1261,0.11315129734265073
12594,0.17919508046731797
7500,0.18705839915661643
16219,0.19254503824058883
15409,0.07681693355554846
17597,0.3251451430222491
3765,0.13210923609822792
