,host_listings_count,accommodates,bedrooms,minimum_nights,maximum_nights,availability_365,number_of_reviews,host_is_superhost_t,room_type_Private room,room_type_Shared room
11925,0.009736716864819894,0.012982289153093192,0.004868358432409947,0.001622786144136649,0.048683584324099465,0.577711867312647,0.07302537648614921,0.0,0.0,0.0
510,0.0013972041457535457,0.0027944082915070914,0.0013972041457535457,0.04191612437260637,0.8383224874521273,0.4680633888274378,0.06846300314192373,0.0,0.0,0.0
11613,0.004973853143134854,0.03481697200194398,0.009947706286269708,0.14921559429404563,0.29843118858809126,0.019895412572539416,0.15916330058031533,0.004973853143134854,0.0,0.0
16532,0.0034172574602952996,0.0008543143650738249,0.0008543143650738249,0.025629430952214746,0.961103660708053,0.26910902499825484,0.0,0.0,0.0008543143650738249,0.0
13409,0.007595875042797587,0.005063916695198391,0.0025319583475991955,0.0025319583475991955,0.9241647968737063,0.23800408467432438,0.19242883441753886,0.0,0.0,0.0
12620,0.004350702021397505,0.003867290685686671,0.0019336453428433354,0.014502340071325016,0.17644513753445434,0.17596172619874353,0.0,0.0,0.0,0.0
13116,0.0,0.008768629187770735,0.004384314593885367,0.004384314593885367,0.030690202157197574,0.8198668290565637,0.16660395456764399,0.004384314593885367,0.0,0.0
6878,0.003420465315873791,0.0017102326579368954,0.0008551163289684477,0.02565348986905343,0.9620058700895037,0.2650860619802188,0.018812559237305848,0.0008551163289684477,0.0008551163289684477,0.0
17777,0.016786226307056673,0.02517933946058501,0.008393113153528337,0.12589669730292505,0.7553801838175503,0.4070659879461243,0.0,0.0,0.0,0.0
6538,0.007796933487449229,0.010395911316598972,0.002598977829149743,0.005197955658299486,0.3118773394979692,0.7978861935489712,0.3482630291060656,0.0,0.0,0.0
13620,0.0,0.01186476579756788,0.007118859478540728,0.1779714869635182,0.18390386986230214,0.4271315687124437,0.0,0.0,0.0,0.0
3618,0.0,0.0008398176389300247,0.0008398176389300247,0.025194529167900742,0.9447948437962779,0.305693620570529,0.0016796352778600495,0.0,0.0008398176389300247,0.0
11063,0.8144660521615067,0.0009678740964486117,0.0004839370482243058,0.014518111446729175,0.544429179252344,0.16937796687850704,0.0,0.0,0.0,0.0
